MICHELIN_NM,FCLTY_NM,RDNMADR_NM,AREA_NM,CTPRVN_ENG_NM,SIGNGU_ENGL_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,CTPRVN_SIMCH_CHNLNG_NM,SIGNGU_SIMCH_CHNLNG_NM,SIGNGU_TRACH_CHNLNG_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE,BASE_DE
더플레이트미쉐린,타쿠미곤,"서울특별시 서초구 사평대로 98, 2층",서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,126.99548,37.498654,,02-595-1935,스시,"120,000 - 220,000?",2021-12-31
더플레이트미쉐린,쿤쏨차이,서울특별시 서초구 서초대로 53길 23,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.014319,37.4962,,02-596-6411,타이,"9,000 - 77,000",2021-12-31
빕구르망,미나미,서울특별시 서초구 서초대로58길 31-2,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.018101,37.493285,http://instagram.com/chef_minami,02-522-0373,소바,"17,000 - 32,000",2021-12-31
더플레이트미쉐린,버드나무집,서울특별시 서초구 효령로 434,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.031251,37.489015,,02-3473-4167,바비큐,"12,000 - 107,000",2021-12-31
빕구르망,목천집,서울특별시 서초구 효령로 52길 69,서울,Seoul Metropolitan Government,Seocho-gu,ソウル特別市,瑞草?,首?特?市,瑞草?,瑞草區,11,11650,127.013418,37.481307,,02-525-8418,칼국수,"8,000 - 43,000",2021-12-31
더플레이트미쉐린,본앤브레드,"서울특별시 성동구 마장로 42길 1, 2층",서울,Seoul Metropolitan Government,Seongdong-gu,ソウル特別市,城東?,首?特?市,瑞草?,城東區,11,11200,127.044507,37.566802,,02-2294-5005,바비큐,"30,000 - 116,000",2021-12-31
더플레이트미쉐린,렁팡스,서울특별시 성동구 연무장길 106,서울,Seoul Metropolitan Government,Seongdong-gu,ソウル特別市,城東?,首?特?市,瑞草?,城東區,11,11200,127.060671,37.540747,www.lenfance.net,02-465-7117,프렌치,"14,000 - 68,000",2021-12-31
빕구르망,팩피,서울특별시 성동구 왕십리로 136,서울,Seoul Metropolitan Government,Seongdong-gu,ソウル特別市,城東?,首?特?市,瑞草?,城東區,11,11200,127.044556,37.549682,,02-6052-7595,이탤리언컨템퍼러리,"20,000 - 35,000",2021-12-31
빕구르망,봉피양,서울특별시 송파구 양재대로 71길 1-4,서울,Seoul Metropolitan Government,Songpa-gu,ソウル特別市,松坡?,首?特?市,松坡?,?坡區,11,11710,127.126185,37.510002,www.bjgalbi.com,02-415-5527,냉면,"13,000 - 60,000",2021-12-31
더플레이트미쉐린,벽제갈비,서울특별시 송파구 양재대로 71길 1-4,서울,Seoul Metropolitan Government,Songpa-gu,ソウル特別市,松坡?,首?特?市,松坡?,?坡區,11,11710,127.126185,37.510002,www.bjgalbi.com,02-415-5522,바비큐,"13,000 - 300,000",2021-12-31
1스타 미쉐린,비채나,"서울특별시 송파구 올림픽로 300, 롯데월드 타워 81층",서울,Seoul Metropolitan Government,Songpa-gu,ソウル特別市,松坡?,首?特?市,松坡?,?坡區,11,11710,127.102605,37.513528,www.bicena.com,02-3213-1260,한식,"77,000 - 210,000",2021-12-31
1스타 미쉐린,스테이,"서울특별시 송파구 올림픽로 300, 롯데월드 타워 81층",서울,Seoul Metropolitan Government,Songpa-gu,ソウル特別市,松坡?,首?特?市,松坡?,?坡區,11,11710,127.102605,37.513528,www.lottehotel.com/seoul-signiel,02-3213-1231,프렌치컨템퍼러리,"73,000 - 248,000",2021-12-31
